,Tweets,Subjectivity,Polarity,Analysis
52,    26JanDelhiTractorParade  ModiWithFarmers FarmersDemandJustice… ,0.0,0.0,Neutral
53,"COVID19 Vaccine : Know which state got how many COVIDSHIELD doses  
Covishield CovidVaccine",0.5,0.5,Positive
54,"Explainer: How COVID-19 vaccine will reach your nearest health centre in Karnataka 

COVIDVaccine
Covishield… ",0.0,0.0,Neutral
55,"Fabulous. Covaxin approved without complete trials. And then being forced upon people giving them no choice!
Is th… ",0.5333333333333333,0.04166666666666665,Positive
56,"
Covid-19 vaccine journey takes off; 5.6 mn doses were shipped to 13 cities
Woke up with thi… ",0.0,0.0,Neutral
57,"WearAMask 
And it matters...
aashaherbals 
CovidVaccine 
secondwave 
thoughts ",0.0,0.0,Neutral
58,"As LTCF residents are prioritized in phase 1a for CovidVaccine, let's endeavor to increase access to Bamlanivimab… ",0.0,0.0,Neutral
59,𝐂𝐎𝐕𝐈𝐃𝐕𝐚𝐜𝐜𝐢𝐧𝐞 𝐑𝐞𝐚𝐜𝐡𝐞𝐬 𝐃𝐢𝐟𝐟𝐞𝐫𝐞𝐧𝐭 𝐒𝐭𝐚𝐭𝐞𝐬  𝐅𝐮𝐬𝐢𝐨𝐧 𝐖𝐞𝐑𝐈𝐧𝐝𝐢𝐚 ,0.0,0.0,Neutral
60,Vistara flights carrying   Covaxin to Delhi. COVID19 CovidVaccine Covaxin Covishield ,0.0,0.0,Neutral
61,"It’s been 13 hours post 💉. 
My arm is achy and sore (like before). I can’t really lift it without wincing. I feel w… ",0.2,0.2,Positive
62,"We are proud of all of you 
Serum Instituted of India
Bharat biotech Thank You.🙏🙏

SerumInstituteofIndia… ",1.0,0.8,Positive
63,"A very happy new year to all, let's hope the CovidVaccine can be a winner for herd immunity for all, and can be a… ",0.7272727272727273,0.5681818181818181,Positive
64,Need  to give us more details about this CovidVaccine distribution plan for California.,0.5,0.5,Positive
65,"or in the case of India, is it vaccines by Serum Institute or Bharat Biotech? CovidVaccine IndiaCovidVaccines ",0.0,0.0,Neutral
66,The Indian government is expected to start administering the covid vaccinations in the coming couple of months. Wit… ,0.4,-0.1,Negative
67,"Citizens who don't wish to avail can surrender it like the LPG gas cylinder. 
This is the least govt can give for a… ",0.4,-0.3,Negative
68,"Cost of 1 CovidVaccine is just Rs.200/- 
The least the Govt can do for its citizen is to give this free, once in t… ",0.6000000000000001,0.05000000000000002,Positive
69,Most of the vast expanses of water are quite unknown to us. Here are  Mind-Blowing Facts About the mysteries of the… ,0.7000000000000001,0.13333333333333333,Positive
70," You realize if JacobChansley gets convicted, he'll likely get the CovidVaccine before ANY of us?",1.0,0.0,Neutral
71,"LAST 24 HOURS COVID19 Cases in India 🇮🇳 Increased

TOP-5 States that has Most Number of Cases in India 🇮🇳 Last 2… ",0.2111111111111111,0.16666666666666666,Positive
72,WATCH | Vistara’s flight carrying the second consignment of BharatBiotech’s Covaxin lands in Delhi… ,0.0,0.0,Neutral
73,"UPDATE: CYBER-SECURITY
Hackers leak stolen Pfizer COVID-19 vaccine data online
calgroups calsaig knowledgeark… ",0.0,0.0,Neutral
74,"Watch our expert panel discussion    
“COMBATING COVID-19: INDIA AND THE WORLD?”  Today - 13th Jan’21 from 7.30 PM(… ",0.0,0.0,Neutral
75,"BREAKING | Today's big news about Corona vaccination

The first batch of vaccine arrived in Jaipur, Air India Fl… ",0.21666666666666667,0.125,Positive
76,"Me, just 4 days from receiving my second dose of the  COVIDVaccine 💉... 😡😩  ",0.0,0.0,Neutral
77,"DelhiPolice steps up security ahead of nationwide Covidvaccine roll-out
",0.0,0.0,Neutral
78,"Three boxes of Covaxin, developed by BharatBiotech,  taken to Kurukshetra, Haryana

COVID19 CovidVaccine… ",0.3,0.1,Positive
79,"AirIndia carries 1st consignment of BharatBiotech Covidvaccine to Delhi
",0.0,0.0,Neutral
80,"_ KeaDrive

CovidVaccine Y'all have to see this..

",0.0,0.0,Neutral
81,"""India becomes a VacciNation"" - brillant ad copy by Amul 👏

covidvaccine 
IndiaFightsCorona ",0.0,0.0,Neutral
82,"We Can't Choose Between Vaccines Right Now: Centre 
COVID19 CovidVaccine CoronaVaccine coronavirus India… ",0.5357142857142857,0.2857142857142857,Positive
83,"Exclusive visuals of Covaxin by  flight at DelhiAirport 

COVIDVaccination
CoronaVaccine… ",0.0,0.0,Neutral
84,"2 doses of vaccine, with a gap of 4 weeks are mandatory for the completion of dosage. Let's make our vaccination dr… ",0.0,0.0,Neutral
85,"Visuals of Covaxin by AirIndia flight at Delhi airport 

COVID19 CovidVaccine COVIDVaccination ",0.0,0.0,Neutral
86,"This is Eddye Valenzuela, a SaltLakeCity para educator who died from COVID19. He has no family in Utah. His scho… ",0.0,0.0,Neutral
87,CovidVaccine | First consignment of Bharat Biotech's Covaxin arrives in Guwahati ,0.3333333333333333,0.25,Positive
88,"Watch: Three boxes of Covaxin delivered to Haryana 
Covaxin CovidVaccine COVID19 Haryana ",0.0,0.0,Neutral
89,"Would it be harmful to get the Pfizer vaccine, to boost effectiveness, if you have previously received the AstraZen… ",0.16666666666666666,-0.16666666666666666,Negative
90,"Stupid mask. 

Can't believe people are glamorizing this BS.

Something deep in your soul should tell you this is v… ",0.7,-0.39999999999999997,Negative
91,CyrilRamaphosa is telling you mRNA vaccines are like yellow fever vaccine. Meanwhile it turns you body into a dise… ,0.0,0.0,Neutral
92,"This is insane! Hopefully we all are vaccinated in the near future! CovidVaccine COVID19 pandemic 

",0.5083333333333333,-0.3,Negative
93,"We hv CovidVaccine
Bt now we need treatment more lethal disease FarmersRejectSCcommittee 
How can they not trust… ",0.5,0.5,Positive
94,China said Government of Australia is ‘politicising business’ over the decision to block Probuild sale to a… ,0.0,0.0,Neutral
95,"CovidVaccine: Tamil Nadu gears up for the Covid vaccination, the first batch of 5,36,550 Covishield vaccine arriv… ",0.3333333333333333,0.25,Positive
96,We should name the CovidVaccine EliseEcklundIsAwesome or BidenVaccine,0.0,0.0,Neutral
97,I gave to Unicef after I learned they will be giving covidvaccine in many countries. They know vaccines. Part of… ,0.5,0.5,Positive
98,"It’s more than a glimmer of hope. Happy Pongal. Happy Makar Sankranti. Happy Lohri. Stay positive folks.

Lohri… ",0.809090909090909,0.6254545454545455,Positive
99,"CovidVaccine
Since you , on last night's 9pm debate sounded less informed that my maid who's never b… ",0.06666666666666667,-0.08333333333333333,Negative
100,what's it like getting your covid jab at Bronllys?  Are there long queues? bronllys CovidVaccine,0.4,-0.05,Negative
101,CovidVaccine  i tried to make appt for vaccine and nothing until after July. BIG flaw in website. You ha… ,0.1,0.0,Neutral
102,The  has now published its more comprehensive COVID19 vaccine guidance for people living with… ,0.5,0.5,Positive
103,The second batch of coronavirus vaccines arrived today at LGBI Aiport in Guwahati. The vaccines will soon be handed… ,0.0,0.0,Neutral
104,A vaccine with Chinese charatteristics CovidVaccine ,0.0,0.0,Neutral
105,"Today, Haryana to get first consignment of CovidVaccine
   ",0.3333333333333333,0.25,Positive
106,"Disband SPI-M, not only are their projections and assumptions demonstrably false, but they are also heavily tied in… ",0.7000000000000001,-0.20000000000000004,Negative
107,"LOL. The CDC promises a thorough investigation...here we go.
CovidVaccine Florida wednesdaythought ",0.7,0.8,Positive
108,First vaccine dose today! Grateful to do my small part and hopeful for a better future 🙏🏼 PfizerBioNTech… ,0.33958333333333335,0.140625,Positive
109,You do not need to check your antibody levels before getting COVIDVaccine. It is advisable to receive a complete s… ,0.4,0.1,Positive
110,"Samajwadi Party president AkhileshYadav, who had dubbed the country’s anti-Covidvaccine as the ”BJP’s one” before… ",0.0,0.0,Neutral
111,Not to sound pessimistic but when can we expect news of vaccine in the black market and news of vaccines been loote… ,0.4166666666666667,0.11666666666666668,Positive
112,"Houston - if you're trying to get a covidvaccine at Methodist for senior family, be persistent/patient. Prepare t… ",0.0,0.0,Neutral
113,"Three boxes of Covaxin being taken to Kurukshetra in Haryana in Delhi

Covaxin CovidVaccine COVID19 ",0.0,0.0,Neutral
114,Discussed various aspects of the CovidVaccine  roll-out in the country after the Prime Minister’s meeting with Chi… ,0.5,0.0,Neutral
115,"Vaccine consignment update: LGBI Airport, Guwahati from Hyderabad. 
Total 3 boxes, 78.5 Kgs 
 Consignee : Govt of A… ",0.75,0.0,Neutral
116,The first consignment of Covishield by Serum Institute of India arrived in Goa at 6:22 am today. The two boxes re… ,0.3333333333333333,0.25,Positive
117,"The first three consignments of Covaxin, developed by BharatBiotech has been taken to Kurukshetra, Haryana.… ",0.31666666666666665,0.175,Positive
118,There’s this constant angst teaching in a large school with 10 different groups of kids in two days. It’s hard to d… ,0.4758928571428571,-0.019345238095238103,Negative
119,"After Covishield, Covaxin Reaches Odisha Today
Covaxin CovidVaccine Odisha 
",0.0,0.0,Neutral
120,"_HHopkins My 82y/o Dad told me tonight he gets his first 💉  Saturday.  He is so excited, as we all are for him.
CovidVaccine",0.5416666666666666,0.3125,Positive
121,"IndiaFightsCorona 

Only pre-registered beneficiary will get the CovidVaccine. Do register yourself, you may take… ",1.0,0.0,Neutral
122,"Three boxes of Covaxin being taken to Kurukshetra in Haryana.

The first consignment of the CovidVaccine by Hyder… ",0.3333333333333333,0.25,Positive
123,ETTelecom | Google launches $3 million fund to fight vaccine misinformation CovidVaccine Google… ,0.0,0.0,Neutral
124," Cases build on False positives. Biggest hoax to sell biggest poison.



CovidVaccine",0.6,-0.4000000000000001,Negative
125,"BREAKING : Vaccine van Nuapada proceed to Bhubaneswar from DHH, Nuapada for receive COVIDvaccine.

GoNuapada ",0.0,0.0,Neutral
126,"Lucknow got its first 160,000 vials of CovidVaccine on Tuesday ahead of the start of the nationwide vaccination dr… ",0.3333333333333333,0.25,Positive
127,"Uttar Pradesh govt seeks 1.1 million CovidVaccine vials for first phase

(reports )… ",0.3333333333333333,0.25,Positive
128,"NewsAlert : 20,000 doses of Covaxin CovidVaccine arrives in Bhubaneswar, Odisha today. ",0.0,0.0,Neutral
129,  65+ high risk seniors are waiting for your kindness in   Bay a… ,0.5399999999999999,0.16,Positive
130, I just tried to register my 72 year old mother for the CovidVaccine in both her zip code (Queens) and… ,0.2,0.1,Positive
131," _of_Irvine PLEASE READ:  CovidVaccine Update in OC

The Orange County Health Care Agency (OCHCA) has… ",0.0,0.0,Neutral
132,"5/5 Because doing nothing feels worse. 
COVIDVaccine is about us. It needs to not be planned without us.… ",0.6,-0.4,Negative
133,Not much easily accessible public data on NYC COVID19 vaccinations rates. Here's todays:  ,0.22083333333333333,-0.09375,Negative
134,"Should a 19 years old get an injection from Modena vaccine?
CovidVaccine COVID19Vaccine Covid_19 COVID19 coronavirus",0.2,0.1,Positive
135,"Covid-19 vaccines: After Serum, Bharat Biotech dispatches first lot of Covaxin 

 

CovidVaccine",0.3333333333333333,0.25,Positive
136,I am not anti-vaxxers but admit to CovidVaccine hesitancy. Mom and Dad are both on blood thinners and Mom had peri… ,0.0,0.0,Neutral
137, _lee Nonsense just like the poison they are trying to force on unsuspecting citizens… ,0.0,0.0,Neutral
138,The CEO of Serum stated the first 100 million doses of the Covishield vaccine were sold only to the government at a… ,0.6666666666666666,0.125,Positive
139,"CovidVaccine | States that received first dispatch ahead of Jan 16 roll-out

The vaccination process will commence… ",0.3333333333333333,0.25,Positive
140," Cyril Ramaphosa like anarchy. All of this to punt poison CovidVaccine 

",0.0,0.0,Neutral
141,_Karp How many politicians bought Pfizer shares last year  CovidVaccine,0.2833333333333333,0.25,Positive
142,"I should really just sign up for the vaccine, but I’m on the fence about it😬😬😬CovidVaccine itsfree healthcareworker",0.2,0.2,Positive
143,"4/5 it is hard. But it needs to include planning for how to safely, accessibly, &amp; promptly provide CovidVaccine to… ",0.4583333333333333,0.04166666666666666,Positive
144,"  Full thread, give them the full rub. Ungabaropi   CovidVaccine 

",0.55,0.35,Positive
145,"How Does the COVID-19 Vaccine Work?
COVID19  COVID COVIDVaccination CovidVaccine 
",0.0,0.0,Neutral
146,"Post COVID-19 Vaccine Day 3
How I’m doin!!!

👉🏽Received the first dose of the Moderna covid vaccine. 

👉🏽Headache,… ",0.3333333333333333,0.25,Positive
147,"Sources:
The Madurai district administration has recommended to hold the grand inaugural of CovidVaccine rollout a… ",1.0,0.5,Positive
148,"Fellow healthcare workers, act now! CovidVaccine ",0.0,0.0,Neutral
149,So right wing says Obama and Bill Gates are spreading anti-hate virus in the covid and the gov and media are helpin… ,0.5357142857142857,0.2857142857142857,Positive
150,"    Covid19 projection models were a scam 
PCRTesting is a sc… ",0.0,0.0,Neutral
151,"Later in the day, the vaccine cargoes are set for delivery in Thiruvananthapuram and Kozhikode too. KeralaCOVID19… ",0.0,0.0,Neutral
152," Breaking CovidVaccine death trap. 

",0.0,0.0,Neutral
153,"COVID19VaccinationDrive: 'Cannot suppress human right of consent,' say experts

Via:  

Mumbai… ",0.31785714285714284,0.14285714285714285,Positive
154,A dead nurse has been registered as a frontline worker who will receive a shot of the COVIDvaccine in the first ph… ,0.3666666666666667,0.024999999999999994,Positive
155," mRNA EXPERIMENT free future for all informed South Africans.

CovidVaccine 

",0.4625,0.2,Positive
156,"CovidVaccine | States that received first dispatch ahead of Jan 16 roll-out

The vaccination process will commence… ",0.3333333333333333,0.25,Positive
157,I'm rewatching every episode of Scandal from start to end because it is absolutely less crazy than what is going on… ,0.48333333333333334,-0.3833333333333333,Negative
158,Covid has made people more kinder ! COVID19  CovidVaccine,0.5,0.625,Positive
159,"Take precautions even after CovidVaccine: Bihar government tells health workers

(report by )… ",0.0,0.0,Neutral
160,"Delhi
Three boxes of Covaxin being taken to Kurukshetra in Haryana.
The first consignment of the CovidVaccine b… ",0.3333333333333333,0.25,Positive
161,"11-Health: Corona Infection: Keeping the breath for a while a...  
COVID19 CovidVaccine… ",0.0,0.0,Neutral
162,"Delhi: Three boxes of Covaxin being taken to Kurukshetra in Haryana.

The first consignment of the CovidVaccine b… ",0.3333333333333333,0.25,Positive
163,Hey  and  can I get entry to some games this year? I will wear a mask and distance. CovidVaccine ,0.0,0.0,Neutral
164,"11-Health: Corona Vaccine in Pregnancy: Do Pregnant Women Als...  
COVID19 CovidVaccine… ",0.5,0.3333333333333333,Positive
165,[News Alert] BJP Meerut MLA Sangeet Singh Som on CovidVaccine: Unfortunate that some Muslims do not trust our coun… ,1.0,-0.5,Negative
166,Looks like Alberta and BC will be out of vaccines Thursday if the shipments of CovidVaccine don’t arrive tomorrow.… ,0.0,0.0,Neutral
167,"Covid19 CovidVaccine, my uncle is dead today, never had covid ,know why he died, the vaccine killed him cause he… ",0.2,-0.2,Negative
168,Check out how easy  is making it for residents in Utah County to get information on the CovidVaccine ,0.8333333333333334,0.43333333333333335,Positive
169,"Finally, the rollout begins..... vaccine COVIDVaccination CovidVaccine ",1.0,0.0,Neutral
170,"Jaipur | Dry run for Covid-19 vaccination rollout today

The dry run will be held at 12 places in Jaipur district… ",0.6,-0.06666666666666665,Negative
171,"No FEAR just FACTS

Two questions from Monday's  



COVID19 Covid19Ireland… ",0.0,0.0,Neutral
172,"Covid-19 Vaccine: After Covishield, Covaxin Reaches Bhubaneswar

CovidVaccine Covaxin BharatBiotech Odisha 
",0.0,0.0,Neutral
173,The first consignment of Covishield by Serum Institute of India arrived in Goa at 6:22 am today. The two boxes rec… ,0.3333333333333333,0.25,Positive
174,"New blog post: While we wait for the CovidVaccine supply to ramp up, here are 10 things the Quebec government sho… ",0.45454545454545453,0.13636363636363635,Positive
175,The first consignment of Covishield by Serum Institute of India arrived in Goa at 6:22 am today. The two boxes rec… ,0.3333333333333333,0.25,Positive
176,"Apparently, the COVID vaccine is not effective enough to allow US citizens to return home without additional testin… ",0.5499999999999999,-0.08333333333333333,Negative
177,"Delhi: Three boxes of Covaxin being taken to Kurukshetra in Haryana.
The first consignment of the CovidVaccine by… ",0.3333333333333333,0.25,Positive
178,Phenomenal! Covishield CovidVaccine  ,0.5,0.625,Positive
179,"JUST_IN: About 20,000 doses of Covaxin vaccine, by Bharat Biotech arrives in Chennai. The vaccines doses will be… ",0.0,0.0,Neutral
180,"Delhi | Three boxes of CovidVaccine Covaxin by Bharat Biotech being taken to Kurukshetra in Haryana.

(ANI) ",0.0,0.0,Neutral
181,"Covid-19 Vaccine 
CoronavirusVaccine Covid_19 CovidVaccine CoronavirusStrain COVID19 ",0.0,0.0,Neutral
182,Telangana | The first consignment of CovidVaccine Covaxin by Bharat Biotech being brought from Hyderabad to Delhi… ,0.3333333333333333,0.25,Positive
183,"☕☕ Coffee Morning☕☕

I'm one of those that needs more help than others... 🤪

Dogecoin WENDY TCMParty… ",0.5,0.5,Positive
184,"Delhi: Three boxes of Covaxin being taken to Kurukshetra in Haryana.

The first consignment of the CovidVaccine b… ",0.3333333333333333,0.25,Positive
185,"Only pre-registered beneficiaries will get the CovidVaccine. Do register yourself, you may take help from the near… ",1.0,0.0,Neutral
186, _india These Poonawallas  are thugs of the finest order! It's sad that the govt i… ,1.0,-0.5,Negative
187,5/5 tonight for being the only person at a social or interview that hasn’t been vaccinated. One med student had eve… ,0.5333333333333333,0.016666666666666666,Positive
188,"$AZN Oxford CovidVaccine may get europeanunion nod coronavirus AstraZeneca files for EU vaccine approval

Read… ",0.0,0.0,Neutral
189,"Delhi | The first consignment of Covaxin by Hyderabad based Bharat Biotech, arrives at Indira Gandhi Internationa… ",0.3333333333333333,0.25,Positive
190,New for Season 2! Weekly Bonus Content!      … ,0.45454545454545453,0.2130681818181818,Positive
191,Day 2 post CovidVaccine. I'm a HCW for people who have dementia.  So happy I was able to get the vaccine to protec… ,0.8125,0.65,Positive
192,Lyrics for a new song dedicated to the nurses at Vassar ... and everywhere else. NurseTwitter nurse CovidVaccine… ,0.45454545454545453,0.13636363636363635,Positive
193,I went out for 2 hours on Sunday to drive around with a friend. Other than that I hadnt left the house in 3 weeks.… ,0.1875,-0.0625,Negative
194,"PLEASE READ:  CovidVaccine Update in OC
The Orange County Health Care Agency (OCHCA) has now approved Covid vaccin… ",0.0,0.0,Neutral
195,"Delhi: Three boxes of Covaxin being taken to Kurukshetra in Haryana.

The first consignment of the CovidVaccine b… ",0.3333333333333333,0.25,Positive
196,"Isn't Parkland Dallas County's ""public hospital""?  Why aren't they providing vaccines to the 1B category?  
This sh… ",0.06666666666666667,0.0,Neutral
197,Feels like you’re complaining of your food in front of the hungry.  Enjoy that fever! It would go away. ☺️ CovidVaccine youluckypeopleyou,0.5,0.5,Positive
198,"
Don't trust the COVIDVaccine.",0.0,0.0,Neutral
199,"The choice of vaccine to be administered remains with the government, even as COVID-19 vaccination remains voluntar… ",0.0,0.0,Neutral
200,5 private hospitals included in  list of 16 vaccinationCovid centres CovidVaccine COVID19 COVIDー19… ,0.375,0.0,Neutral
201,First consignment of Covid vaccine to reach Kerala today  CovidVaccine,0.3333333333333333,0.25,Positive
202,   100 mn doses = 10 crore doses only. Only 10 crore people will get f… ,1.0,0.0,Neutral
203,"First consignment of Covaxin by Hyderabad-based Bharat Biotech, arrives at Delhi's Indira Gandhi International Air… ",0.16666666666666666,0.125,Positive
204,Thankful for the hard work and dedication USA Health provides to the community! usahealth covidvaccine ,0.5416666666666666,-0.36458333333333337,Negative
205,"Most Australians will get the AstraZeneca coronavirus vaccine, but priority groups will receive the Pfizer drug. Wh… ",0.5,0.5,Positive
206,Kinda nervous for this CovidVaccine tomorrow 🥴,0.0,0.0,Neutral
207,"Centre, not States, will bear expenses for 1st-phase vaccination:

The 1st phase of COVID19 vaccination drive will… ",0.0,0.0,Neutral
208,"Pakistan hopes to get Chinese COVID19 vaccine in early February, Dr. Faisal Sultan, the de facto health minister o… ",0.15,0.05,Positive
209,"I did an important thing a today! 

Thank you ! 

COVID19 COVIDVaccination CovidVaccine Obesity… ",1.0,0.625,Positive
210,"Every week the CovidVaccine rollout is moving closer to getting 💉 for the most vulnerable 

So appreciative this w… ",0.6333333333333333,0.19999999999999998,Positive
211,1.5m people. 500/day. 8.22 years (2 olympics) until palm beach county florida is vaccinated. If the state only does… ,1.0,0.0,Neutral
212,"Centre, not States, will bear expenses for 1st-phase vaccination:

The 1st phase of COVID19 vaccination drive will… ",0.0,0.0,Neutral
213,"Poonawalla said once100 million doses to the government at a ""special price"" of Rs 200 per dose are out, SII will p… ",0.5714285714285714,0.35714285714285715,Positive
214,"First batch of ‘Covishield’ arrives in Mumbai

India Mumbai Covishield Covid19 CovidVaccine",0.3333333333333333,0.25,Positive
215,Wore my best pandemicswag to get my first dose of the Moderna CovidVaccine today! Not pictured my iheartdrfauci… ,0.31666666666666665,0.65625,Positive
216,26JanDelhiTractorParade FarmerSuicideModiQuiet False ModiWithFarmers COVID19 COVID19Ontario coronavirus… ,0.6,-0.4000000000000001,Negative
217,"KARNATAKA RECEIVES ITS FIRST CONSIGNMENT OF COVIDVACCINE OF 6.48 LAKH DOSES
",0.3333333333333333,0.25,Positive
218,  Nope. If you didn’t think NYC was good enough to live in don’t come back here when you su… ,0.4,0.20909090909090908,Positive
219,"Don’t premedicate with anti inflammatories for your CovidVaccine 
Informative website from … ",0.0,0.0,Neutral
220,Vaccine will be delivered across the Mumbai at designated vaccination centers for national inoculation drive set on… ,0.0,0.0,Neutral
221,Loved watching _CBR presser where he tried defend the   welfarevaccine… ,0.8,0.7,Positive
222,"BhartiyaSanskar 
Puja of the first truck carrying the CovidVaccine ",0.3333333333333333,0.25,Positive
223,This is what trying to schedule a COVIDvaccine in NYC looks like. This is madness. ,0.0,0.0,Neutral
224,Grateful for my CovidVaccine and even more grateful for a seconddose  scheduled on a Friday 🎰 ,0.5,0.5,Positive
